211	"Tiska"	"Djanet"	"Algeria"	"DJG"
212	"Boufarik"	"Boufarik"	"Algeria"	"QFD"
213	"Reggane"	"Reggan"	"Algeria"	""
214	"Illizi Takhamalt"	"Illizi"	"Algeria"	"VVZ"
215	"Ain Oussera"	"Ain Oussera"	"Algeria"	""
216	"Tamanrasset"	"Tamanrasset"	"Algeria"	"TMR"
217	"Jijel"	"Jijel"	"Algeria"	"GJL"
218	"Mecheria"	"Mecheria"	"Algeria"	""
219	"Relizane"	"Relizane"	"Algeria"	""
220	"Annaba"	"Annaba"	"Algeria"	"AAE"
221	"Mohamed Boudiaf Intl"	"Constantine"	"Algeria"	"CZL"
222	"Cheikh Larbi Tebessi"	"Tebessa"	"Algeria"	"TEE"
224	"Hassi R Mel"	"Tilrempt"	"Algeria"	"HRM"
225	"Bou Chekif"	"Tiaret"	"Algeria"	"TID"
226	"Bou Sfer"	"Bou Sfer"	"Algeria"	""
227	"Tindouf"	"Tindouf"	"Algeria"	"TIN"
228	"Ech Cheliff"	"Ech-cheliff"	"Algeria"	"QAS"
229	"Tafaraoui"	"Oran"	"Algeria"	"TAF"
230	"Zenata"	"Tlemcen"	"Algeria"	"TLM"
231	"Es Senia"	"Oran"	"Algeria"	"ORN"
232	"Sidi Bel Abbes"	"Sidi Bel Abbes"	"Algeria"	""
233	"Ghriss"	"Ghriss"	"Algeria"	"MUW"
234	"Touat Cheikh Sidi Mohamed Belkebir"	"Adrar"	"Algeria"	"AZR"
235	"Biskra"	"Biskra"	"Algeria"	"BSK"
236	"El Golea"	"El Golea"	"Algeria"	"ELG"
237	"Noumerat"	"Ghardaia"	"Algeria"	"GHA"
238	"Oued Irara"	"Hassi Messaoud"	"Algeria"	"HME"
239	"In Salah"	"In Salah"	"Algeria"	"INZ"
240	"Sidi Mahdi"	"Touggourt"	"Algeria"	"TGR"
241	"Laghouat"	"Laghouat"	"Algeria"	"LOO"
242	"Timimoun"	"Timimoun"	"Algeria"	"TMX"
243	"Ouargla"	"Ouargla"	"Algeria"	"OGX"
244	"In Amenas"	"Zarzaitine"	"Algeria"	"IAM"
245	"Cadjehoun"	"Cotonou"	"Benin"	"COO"
246	"Ouagadougou"	"Ouagadougou"	"Burkina Faso"	"OUA"
247	"Bobo Dioulasso"	"Bobo-dioulasso"	"Burkina Faso"	"BOY"
248	"Kotoka Intl"	"Accra"	"Ghana"	"ACC"
249	"Tamale"	"Tamale"	"Ghana"	"TML"
250	"Wa"	"Wa"	"Ghana"	""
251	"Sunyani"	"Sunyani"	"Ghana"	"NYI"
252	"Takoradi"	"Takoradi"	"Ghana"	"TKD"
253	"Abidjan Felix Houphouet Boigny Intl"	"Abidjan"	"Cote d'Ivoire"	"ABJ"
254	"Bouake"	"Bouake"	"Cote d'Ivoire"	"BYK"
255	"Daloa"	"Daloa"	"Cote d'Ivoire"	"DJO"
256	"Korhogo"	"Korhogo"	"Cote d'Ivoire"	"HGO"
257	"Man"	"Man"	"Cote d'Ivoire"	"MJC"
258	"San Pedro"	"San Pedro"	"Cote d'Ivoire"	"SPY"
259	"Yamoussoukro"	"Yamoussoukro"	"Cote d'Ivoire"	"ASK"
260	"Nnamdi Azikiwe Intl"	"Abuja"	"Nigeria"	"ABV"
261	"Akure"	"Akure"	"Nigeria"	"AKR"
262	"Benin"	"Benin"	"Nigeria"	"BNI"
263	"Calabar"	"Calabar"	"Nigeria"	"CBQ"
264	"Enugu"	"Enugu"	"Nigeria"	"ENU"
265	"Gusau"	"Gusau"	"Nigeria"	"QUS"
266	"Ibadan"	"Ibadan"	"Nigeria"	"IBA"
267	"Ilorin"	"Ilorin"	"Nigeria"	"ILR"
268	"Yakubu Gowon"	"Jos"	"Nigeria"	"JOS"
269	"Kaduna"	"Kaduna"	"Nigeria"	"KAD"
270	"Mallam Aminu Intl"	"Kano"	"Nigeria"	"KAN"
